#            JDTDB,            Calendar Date (TDB),X,Y,Z
2431394.5, A.D. 1944-Oct-31 00:00:00.0000,-6.49E-03,4.72E-03,1.08E-04
2431395.5, A.D. 1944-Nov-01 00:00:00.0000,-6.49E-03,4.72E-03,1.08E-04
2431396.5, A.D. 1944-Nov-02 00:00:00.0000,-6.49E-03,4.71E-03,1.08E-04
2431397.5, A.D. 1944-Nov-03 00:00:00.0000,-6.50E-03,4.70E-03,1.09E-04
2431398.5, A.D. 1944-Nov-04 00:00:00.0000,-6.50E-03,4.70E-03,1.09E-04
2431399.5, A.D. 1944-Nov-05 00:00:00.0000,-6.51E-03,4.69E-03,1.09E-04
2431400.5, A.D. 1944-Nov-06 00:00:00.0000,-6.51E-03,4.68E-03,1.09E-04
2431401.5, A.D. 1944-Nov-07 00:00:00.0000,-6.51E-03,4.68E-03,1.09E-04
2431402.5, A.D. 1944-Nov-08 00:00:00.0000,-6.52E-03,4.67E-03,1.09E-04
2431403.5, A.D. 1944-Nov-09 00:00:00.0000,-6.52E-03,4.66E-03,1.09E-04
2431404.5, A.D. 1944-Nov-10 00:00:00.0000,-6.53E-03,4.66E-03,1.10E-04
2431405.5, A.D. 1944-Nov-11 00:00:00.0000,-6.53E-03,4.65E-03,1.10E-04
2431406.5, A.D. 1944-Nov-12 00:00:00.0000,-6.53E-03,4.64E-03,1.10E-04
2431407.5, A.D. 1944-Nov-13 00:00:00.0000,-6.54E-03,4.63E-03,1.10E-04
2431408.5, A.D. 1944-Nov-14 00:00:00.0000,-6.54E-03,4.63E-03,1.10E-04
2431409.5, A.D. 1944-Nov-15 00:00:00.0000,-6.55E-03,4.62E-03,1.10E-04
2431410.5, A.D. 1944-Nov-16 00:00:00.0000,-6.55E-03,4.61E-03,1.10E-04
2431411.5, A.D. 1944-Nov-17 00:00:00.0000,-6.55E-03,4.61E-03,1.11E-04
2431412.5, A.D. 1944-Nov-18 00:00:00.0000,-6.56E-03,4.60E-03,1.11E-04
2431413.5, A.D. 1944-Nov-19 00:00:00.0000,-6.56E-03,4.59E-03,1.11E-04
2431414.5, A.D. 1944-Nov-20 00:00:00.0000,-6.56E-03,4.59E-03,1.11E-04
2431415.5, A.D. 1944-Nov-21 00:00:00.0000,-6.57E-03,4.58E-03,1.11E-04
2431416.5, A.D. 1944-Nov-22 00:00:00.0000,-6.57E-03,4.57E-03,1.11E-04
2431417.5, A.D. 1944-Nov-23 00:00:00.0000,-6.58E-03,4.57E-03,1.11E-04
2431418.5, A.D. 1944-Nov-24 00:00:00.0000,-6.58E-03,4.56E-03,1.12E-04
2431419.5, A.D. 1944-Nov-25 00:00:00.0000,-6.58E-03,4.55E-03,1.12E-04
2431420.5, A.D. 1944-Nov-26 00:00:00.0000,-6.59E-03,4.55E-03,1.12E-04
2431421.5, A.D. 1944-Nov-27 00:00:00.0000,-6.59E-03,4.54E-03,1.12E-04
2431422.5, A.D. 1944-Nov-28 00:00:00.0000,-6.59E-03,4.53E-03,1.12E-04
2431423.5, A.D. 1944-Nov-29 00:00:00.0000,-6.60E-03,4.53E-03,1.12E-04
2431424.5, A.D. 1944-Nov-30 00:00:00.0000,-6.60E-03,4.52E-03,1.13E-04
2431425.5, A.D. 1944-Dec-01 00:00:00.0000,-6.61E-03,4.51E-03,1.13E-04
2431426.5, A.D. 1944-Dec-02 00:00:00.0000,-6.61E-03,4.50E-03,1.13E-04
2431427.5, A.D. 1944-Dec-03 00:00:00.0000,-6.61E-03,4.50E-03,1.13E-04
2431428.5, A.D. 1944-Dec-04 00:00:00.0000,-6.62E-03,4.49E-03,1.13E-04
2431429.5, A.D. 1944-Dec-05 00:00:00.0000,-6.62E-03,4.48E-03,1.13E-04
2431430.5, A.D. 1944-Dec-06 00:00:00.0000,-6.62E-03,4.48E-03,1.13E-04
2431431.5, A.D. 1944-Dec-07 00:00:00.0000,-6.63E-03,4.47E-03,1.14E-04
2431432.5, A.D. 1944-Dec-08 00:00:00.0000,-6.63E-03,4.46E-03,1.14E-04
2431433.5, A.D. 1944-Dec-09 00:00:00.0000,-6.64E-03,4.46E-03,1.14E-04
2431434.5, A.D. 1944-Dec-10 00:00:00.0000,-6.64E-03,4.45E-03,1.14E-04
2431435.5, A.D. 1944-Dec-11 00:00:00.0000,-6.64E-03,4.44E-03,1.14E-04
2431436.5, A.D. 1944-Dec-12 00:00:00.0000,-6.65E-03,4.44E-03,1.14E-04
2431437.5, A.D. 1944-Dec-13 00:00:00.0000,-6.65E-03,4.43E-03,1.14E-04
2431438.5, A.D. 1944-Dec-14 00:00:00.0000,-6.65E-03,4.42E-03,1.15E-04
2431439.5, A.D. 1944-Dec-15 00:00:00.0000,-6.66E-03,4.41E-03,1.15E-04
2431440.5, A.D. 1944-Dec-16 00:00:00.0000,-6.66E-03,4.41E-03,1.15E-04
2431441.5, A.D. 1944-Dec-17 00:00:00.0000,-6.66E-03,4.40E-03,1.15E-04
